file	format	type	num_seqs	sum_len	min_len	avg_len	max_len
HFT_pipeline_result/HostRemoval/NonHostFastq/HFTF-TE-120F_S87.non.host.R1.fastq.gz	FASTQ	DNA	22358206	3331065481	36	149.0	151
HFT_pipeline_result/HostRemoval/NonHostFastq/HFTF-TE-120G_S88.non.host.R1.fastq.gz	FASTQ	DNA	24729032	3682140373	36	148.9	151
HFT_pipeline_result/HostRemoval/NonHostFastq/HFTF-TE-121A_S89.non.host.R1.fastq.gz	FASTQ	DNA	23402313	3486345218	36	149.0	151
HFT_pipeline_result/HostRemoval/NonHostFastq/HFTF-TE-121B_S90.non.host.R1.fastq.gz	FASTQ	DNA	27366561	4078304527	36	149.0	151
HFT_pipeline_result/HostRemoval/NonHostFastq/HFTF-TE-121C_S91.non.host.R1.fastq.gz	FASTQ	DNA	27169508	4048296193	36	149.0	151
HFT_pipeline_result/HostRemoval/NonHostFastq/HFTF-TE-121D_S92.non.host.R1.fastq.gz	FASTQ	DNA	27156283	4046731628	36	149.0	151
HFT_pipeline_result/HostRemoval/NonHostFastq/HFTF-TE-121E_S93.non.host.R1.fastq.gz	FASTQ	DNA	24508584	3650861652	36	149.0	151
HFT_pipeline_result/HostRemoval/NonHostFastq/HFTF-TE-122A_S96.non.host.R1.fastq.gz	FASTQ	DNA	24658989	3677594635	36	149.1	151
HFT_pipeline_result/HostRemoval/NonHostFastq/HFTF-TE-122B_S97.non.host.R1.fastq.gz	FASTQ	DNA	29810589	4446412009	36	149.2	151
HFT_pipeline_result/HostRemoval/NonHostFastq/HFTF-TE-122C_S98.non.host.R1.fastq.gz	FASTQ	DNA	36350236	5422756216	36	149.2	151
HFT_pipeline_result/HostRemoval/NonHostFastq/HFTF-TE-122D_S99.non.host.R1.fastq.gz	FASTQ	DNA	30438278	4538864984	36	149.1	151
HFT_pipeline_result/HostRemoval/NonHostFastq/HFTF-TE-122E_S100.non.host.R1.fastq.gz	FASTQ	DNA	35815231	5340626467	36	149.1	151
HFT_pipeline_result/HostRemoval/NonHostFastq/HFTF-TE-122F_S101.non.host.R1.fastq.gz	FASTQ	DNA	33242461	4957893953	36	149.1	151
HFT_pipeline_result/HostRemoval/NonHostFastq/HFTF-TE-122G_S102.non.host.R1.fastq.gz	FASTQ	DNA	36653557	5465648864	36	149.1	151
